,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
2.7.3,16.69047619,2.277108434,3.083333333,0.301204819,50.20238095,37.1547619,0.143043478,31,28.95652174,0.403913043,0.480869565,38.11%,54.34%,2.45%,29.90%,34.81%,76.64%
2.7.2,16.67857143,2.277108434,3.095238095,0.301204819,50.26190476,37.17857143,0.143043478,31,28.95652174,0.403913043,0.480869565,38.10%,54.35%,2.45%,29.93%,34.82%,76.64%
2.7.1,16.5952381,2.277108434,3.095238095,0.301204819,50.17857143,37.08333333,0.143043478,30.82608696,28.86956522,0.404782609,0.48,38.12%,54.35%,2.45%,29.90%,34.84%,76.52%
2.7.0,16.48809524,2.277108434,3.095238095,0.301204819,50.16666667,37.11904762,0.143043478,30.69565217,29.04347826,0.40173913,0.483478261,41.64%,56.36%,2.46%,29.96%,34.85%,76.28%
2.6.3,16.31707317,2.259259259,3.146341463,0.308641975,50.34146341,37.57317073,0.149090909,30.86363636,28.90909091,0.405,0.475909091,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.2,16.31707317,2.259259259,3.146341463,0.308641975,50.32926829,37.52439024,0.149090909,30.86363636,28.90909091,0.405,0.475909091,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.1,16.3125,2.291139241,3.2,0.316455696,49.9,36.6375,0.139047619,31.28571429,29.66666667,0.411428571,0.48047619,41.55%,56.17%,2.45%,29.92%,35.58%,72.79%
2.6.0,15.54621849,2.186440678,3.87394958,0.466101695,46.43697479,36.66386555,0.141153846,28.69230769,29.15384615,0.393846154,0.490769231,41.58%,56.18%,2.45%,29.82%,35.62%,72.79%
2.5.5,16.01234568,2.1,3.308641975,0.2625,51.48148148,38.74074074,0.134347826,28.95652174,28.60869565,0.403043478,0.490434783,41.70%,55.23%,2.46%,29.61%,34.01%,72.79%
2.5.4,16.18292683,2.074074074,3.292682927,0.259259259,52.14634146,39.95121951,0.15,29.47826087,27.26086957,0.406956522,0.471304348,41.60%,55.23%,2.46%,29.67%,34.06%,76.84%
2.5.3,16.2125,2.101265823,3.3375,0.265822785,51.8875,39.0375,0.134347826,28.95652174,28.65217391,0.403043478,0.490434783,41.66%,55.21%,2.46%,29.67%,34.06%,76.84%
2.5.2,15.98701299,2.118421053,2.87012987,0.276315789,51.54545455,39.19480519,0.135652174,29.69565217,28.95652174,0.409130435,0.484782609,41.76%,55.19%,2.46%,29.74%,33.94%,76.78%
2.5.1,16.64285714,2.202898551,2.942857143,0.304347826,52.78571429,39.98571429,0.130952381,31.04761905,28.9047619,0.427619048,0.473333333,41.74%,55.73%,2.46%,29.75%,33.98%,76.41%
2.5.0,16.41666667,2.183098592,2.930555556,0.295774648,52.86111111,40,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,41.93%,55.66%,2.47%,30.10%,33.98%,76.53%
2.4.1,15.66666667,2.117117117,3.90990991,0.414414414,50.90990991,41.87387387,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.4.0,16.21518987,2.126582278,3.265822785,0.265822785,56.17721519,44.84810127,0.166956522,28.86956522,26.39130435,0.39,0.476086957,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.3.1,16.24050633,2.126582278,3.278481013,0.265822785,56.25316456,44.86075949,0.167391304,28.7826087,26.39130435,0.389130435,0.476521739,43.02%,55.82%,2.51%,29.40%,33.39%,77.77%
2.2.5,16.17721519,2.113924051,3.240506329,0.265822785,55.96202532,44.83544304,0.167391304,28.69565217,26.26086957,0.39,0.476086957,42.97%,55.81%,2.51%,29.61%,33.10%,79.77%
2.2.2,16.17948718,2.128205128,3.205128205,0.269230769,56.26923077,45.52564103,0.166956522,28.69565217,26.26086957,0.39,0.476956522,42.93%,55.80%,2.50%,29.67%,33.00%,79.72%
2.2.1,16.15384615,2.128205128,3.179487179,0.269230769,55.79487179,45.37179487,0.167391304,28.60869565,26.30434783,0.389565217,0.476521739,43.01%,55.76%,2.49%,29.73%,33.02%,79.92%
2.2.0,15.03846154,2,2.884615385,0.355769231,49.08653846,41.09615385,0.151153846,26.80769231,26.69230769,0.376153846,0.497307692,43.02%,55.75%,2.50%,29.73%,33.02%,79.92%
2.1.0,15.92708333,1.979166667,2.958333333,0.364583333,51.70833333,43.97916667,0.135652174,28.52173913,27.52173913,0.393478261,0.486521739,43.23%,55.60%,2.56%,30.12%,33.09%,79.59%
